OGLE-LMC-CEP-0002  15.691 16.420   3.1181490 0.0000109  6000.34799  0.261  0.295 4.645  0.093 3.004
OGLE-LMC-CEP-0005  14.651 15.425   5.6119491 0.0000135  6004.75854  0.508  0.437 4.946  0.164 3.385
OGLE-LMC-CEP-0012  15.474 16.075   2.6601839 0.0000023  6001.07578  0.691  0.516 4.388  0.311 2.600
OGLE-LMC-CEP-0017  15.237 15.899   3.6772904 0.0000061  6001.21645  0.594  0.481 4.611  0.281 2.998
OGLE-LMC-CEP-0018  15.181 15.994   4.0478369 0.0000185  6002.75795  0.247  0.267 4.667  0.085 3.007
OGLE-LMC-CEP-0021  14.709 15.494   5.4579579 0.0000170  6002.24087  0.447  0.423 4.961  0.157 3.602
OGLE-LMC-CEP-0023  16.315 17.081   1.7018187 0.0000034  6000.65340  0.418  0.431 4.338  0.255 2.505
OGLE-LMC-CEP-0025  15.338 16.131   3.7334902 0.0000089  6003.70986  0.368  0.401 4.671  0.173 3.108
OGLE-LMC-CEP-0026  15.497 16.094   2.5706724 0.0000035  6002.26494  0.619  0.444 4.263  0.226 2.249
OGLE-LMC-CEP-0027  15.037 15.641   3.5229124 0.0000050  6001.73458  0.636  0.442 4.389  0.245 2.490
OGLE-LMC-CEP-0028  16.617 17.258   1.2629537 0.0000009  6000.35235  0.510  0.476 4.160  0.278 2.041
OGLE-LMC-CEP-0033  14.386 15.216   7.1807603 0.0000289  6002.62615  0.496  0.338 5.370  0.211 3.683
OGLE-LMC-CEP-0034  13.751 14.673  11.2552749 0.0000646  6007.28824  0.488  0.167 4.749  0.103 5.208
OGLE-LMC-CEP-0035  14.376 15.154   6.9435423 0.0000256  6005.25522  0.403  0.353 5.345  0.142 3.793
OGLE-LMC-CEP-0037  15.512 16.294   3.0669100 0.0000094  6002.25863  0.273  0.345 4.553  0.131 2.865
OGLE-LMC-CEP-0039  15.395 16.059   3.1477882 0.0000075  6002.07933  0.348  0.397 4.549  0.188 2.824
OGLE-LMC-CEP-0040  14.670 15.413   5.1651068 0.0000088  6004.55294  0.577  0.435 4.622  0.201 2.992
OGLE-LMC-CEP-0041  15.530 16.253   2.9106644 0.0000173  6002.12866  0.179  0.225 4.362  0.051 2.233
OGLE-LMC-CEP-0042  15.667 16.360   2.5770257 0.0000037  6002.33638  0.631  0.476 4.366  0.259 2.557
OGLE-LMC-CEP-0044  14.925 15.522   4.0357552 0.0000075  6003.70515  0.618  0.439 4.450  0.225 2.650
OGLE-LMC-CEP-0045  16.146 16.834   1.8669280 0.0000027  6001.52638  0.497  0.473 4.381  0.283 2.625
OGLE-LMC-CEP-0046  13.948 14.745   8.8436041 0.0000500  6006.17876  0.502  0.226 5.148  0.181 3.874
OGLE-LMC-CEP-0048  14.465 15.157   5.5482140 0.0000132  6002.79336  0.552  0.415 4.601  0.171 2.807
OGLE-LMC-CEP-0049  15.316 16.192   3.8491608 0.0000136  6002.77336  0.229  0.231 4.543  0.062 2.743
OGLE-LMC-CEP-0050  14.195 15.021   7.8454429 0.0000283  6005.48757  0.467  0.367 5.342  0.184 3.578
OGLE-LMC-CEP-0053  15.685 16.412   2.6338747 0.0000023  6001.37846  0.694  0.502 4.332  0.373 2.514
